# FICTIONAL sample data (invented league). Not real. See generate.py.
id,name,team,position,price,total_points,points_by_gameweek,status
p01,Bermudez,Costa Verde CF,GK,18714747,36,3;6;6;5;6;8;2,ok
p02,Catalan,Rio Sella SD,GK,21579172,55,6;7;5;7;10;10;10,ok
p03,Ferreras,Valdes UD,GK,14483168,45,5;4;5;11;8;4;8,ok
p04,Quiroga,Sierra Azul CD,GK,19106070,43,6;5;8;8;4;6;6,ok
p05,Sedano,Najar Balompie,GK,13400211,21,2;5;3;4;1;4;2,ok
p06,Ubach,Almaden CD,GK,14417330,35,4;7;4;4;5;5;6,ok
p07,Benavente,Costa Verde CF,DEF,21626574,58,10;9;5;8;8;12;6,ok
p08,Cardus,Costa Verde CF,DEF,15449343,30,4;3;5;5;4;6;3,ok
p09,Elorza,Almaden CD,DEF,19611623,41,5;7;9;7;4;5;4,ok
p10,Gamez,Almaden CD,DEF,15059977,31,5;1;5;6;3;8;3,ok
p11,Hidalgo,Rio Sella SD,DEF,23754308,50,6;4;5;7;13;6;9,ok
p12,Iniguez,Rio Sella SD,DEF,18793536,44,4;9;8;4;7;6;6,ok
p13,Lozano,Penarroya FC,DEF,15052263,27,5;3;2;2;7;4;4,ok
p14,Miralles,Penarroya FC,DEF,19699866,47,5;9;6;6;5;7;9,ok
p15,Prats,Valdes UD,DEF,15548074,39,8;7;8;4;6;4;2,ok
p16,Ruano,Montoro CF,DEF,20561897,55,8;10;9;8;7;4;9,ok
p17,Vilanova,Sierra Azul CD,DEF,18440658,44,5;7;9;9;3;4;7,ok
p18,Bejarano,Puerto Lobo FC,DEF,15607439,37,7;5;4;4;6;6;5,ok
p19,Castells,Najar Balompie,DEF,13495810,26,4;3;3;0;6;6;4,ok
p20,Donaire,Coto Real CF,DEF,18032265,44,4;5;8;6;7;6;8,ok
p21,Abad,Costa Verde CF,MID,28734888,70,7;10;8;11;12;12;10,ok
p22,Canete,Costa Verde CF,MID,19706877,41,3;9;5;4;8;8;4,ok
p23,Dorado,Almaden CD,MID,24307280,44,5;7;7;7;7;5;6,ok
p24,Escamez,Almaden CD,MID,19133660,40,5;7;7;7;6;5;3,ok
p25,Fandino,Rio Sella SD,MID,28855330,66,8;9;10;8;9;11;11,ok
p26,Gascon,Rio Sella SD,MID,16546667,34,6;6;5;6;5;4;2,ok
p27,Herran,Penarroya FC,MID,22608168,37,5;6;4;4;7;9;2,ok
p28,Jimeno,Penarroya FC,MID,18448179,41,8;5;2;3;10;4;9,injured
p29,Lastra,Valdes UD,MID,21321961,53,6;12;8;6;7;5;9,ok
p30,Maroto,Montoro CF,MID,18973920,49,5;8;8;7;7;5;9,injured
p31,Novoa,Montoro CF,MID,25843197,57,7;10;8;10;8;9;5,ok
p32,Peralta,Sierra Azul CD,MID,18155387,41,5;6;7;7;6;4;6,ok
p33,Rendon,Puerto Lobo FC,MID,21261995,38,8;5;4;3;6;7;5,ok
p34,Solis,Coto Real CF,MID,19574508,39,3;8;5;8;5;8;2,ok
p35,Amador,Costa Verde CF,FWD,27837750,67,11;9;10;8;10;11;8,ok
p36,Bustos,Almaden CD,FWD,25604144,68,6;9;11;11;12;12;7,ok
p37,Cifre,Rio Sella SD,FWD,27221094,70,9;9;7;12;11;12;10,ok
p38,Devesa,Penarroya FC,FWD,17779305,33,6;2;4;2;10;3;6,ok
p39,Espasa,Valdes UD,FWD,21798797,40,6;5;6;7;4;5;7,ok
p40,Fabra,Montoro CF,FWD,25549108,67,10;10;12;11;9;6;9,ok
p41,Huertas,Sierra Azul CD,FWD,19517578,45,8;7;5;6;5;6;8,ok
p42,Ibarrola,Puerto Lobo FC,FWD,22864080,45,5;5;8;7;8;6;6,ok
p43,Jativa,Najar Balompie,FWD,16288744,35,5;4;3;4;3;9;7,ok
p44,Loredo,Coto Real CF,FWD,19207901,40,8;5;6;6;5;4;6,ok
